county,day,cases
Atlantic,1,0
Atlantic,2,0
Atlantic,3,0
Atlantic,4,0
Atlantic,5,0
Atlantic,6,0
Atlantic,7,0
Atlantic,8,0
Atlantic,9,0
Atlantic,10,0
Atlantic,11,0
Atlantic,12,0
Atlantic,13,0
Atlantic,14,0
Atlantic,15,3
Atlantic,16,0
Atlantic,17,0
Atlantic,18,1
Atlantic,19,1
Bergen,1,0
Bergen,2,1
Bergen,3,0
Bergen,4,2
Bergen,5,2
Bergen,6,0
Bergen,7,2
Bergen,8,4
Bergen,9,2
Bergen,10,5
Bergen,11,7
Bergen,12,7
Bergen,13,29
Bergen,14,23
Bergen,15,30
Bergen,16,81
Bergen,17,54
Bergen,18,114
Bergen,19,94
Burlington,1,0
Burlington,2,0
Burlington,3,0
Burlington,4,0
Burlington,5,0
Burlington,6,0
Burlington,7,2
Burlington,8,0
Burlington,9,0
Burlington,10,1
Burlington,11,0
Burlington,12,1
Burlington,13,1
Burlington,14,0
Burlington,15,5
Burlington,16,4
Burlington,17,3
Burlington,18,4
Burlington,19,5
Camden,1,0
Camden,2,0
Camden,3,0
Camden,4,1
Camden,5,0
Camden,6,0
Camden,7,0
Camden,8,0
Camden,9,0
Camden,10,1
Camden,11,0
Camden,12,0
Camden,13,1
Camden,14,0
Camden,15,5
Camden,16,5
Camden,17,-2
Camden,18,4
Camden,19,7
Cape May,1,0
Cape May,2,0
Cape May,3,0
Cape May,4,0
Cape May,5,0
Cape May,6,0
Cape May,7,0
Cape May,8,0
Cape May,9,0
Cape May,10,0
Cape May,11,0
Cape May,12,0
Cape May,13,0
Cape May,14,0
Cape May,15,0
Cape May,16,1
Cape May,17,0
Cape May,18,1
Cape May,19,0
Cumberland,1,0
Cumberland,2,0
Cumberland,3,0
Cumberland,4,0
Cumberland,5,0
Cumberland,6,0
Cumberland,7,0
Cumberland,8,0
Cumberland,9,0
Cumberland,10,0
Cumberland,11,0
Cumberland,12,0
Cumberland,13,0
Cumberland,14,0
Cumberland,15,0
Cumberland,16,0
Cumberland,17,1
Cumberland,18,0
Cumberland,19,0
Essex,1,0
Essex,2,0
Essex,3,0
Essex,4,0
Essex,5,0
Essex,6,0
Essex,7,0
Essex,8,0
Essex,9,1
Essex,10,4
Essex,11,2
Essex,12,4
Essex,13,9
Essex,14,12
Essex,15,13
Essex,16,18
Essex,17,10
Essex,18,34
Essex,19,65
Gloucester,1,0
Gloucester,2,0
Gloucester,3,0
Gloucester,4,0
Gloucester,5,0
Gloucester,6,0
Gloucester,7,0
Gloucester,8,0
Gloucester,9,0
Gloucester,10,0
Gloucester,11,0
Gloucester,12,0
Gloucester,13,0
Gloucester,14,2
Gloucester,15,0
Gloucester,16,1
Gloucester,17,0
Gloucester,18,3
Gloucester,19,2
Hudson,1,0
Hudson,2,0
Hudson,3,0
Hudson,4,0
Hudson,5,0
Hudson,6,1
Hudson,7,0
Hudson,8,0
Hudson,9,0
Hudson,10,2
Hudson,11,2
Hudson,12,6
Hudson,13,8
Hudson,14,5
Hudson,15,10
Hudson,16,21
Hudson,17,11
Hudson,18,31
Hudson,19,29
Hunterdon,1,0
Hunterdon,2,0
Hunterdon,3,0
Hunterdon,4,0
Hunterdon,5,0
Hunterdon,6,0
Hunterdon,7,0
Hunterdon,8,0
Hunterdon,9,0
Hunterdon,10,0
Hunterdon,11,0
Hunterdon,12,0
Hunterdon,13,1
Hunterdon,14,3
Hunterdon,15,2
Hunterdon,16,2
Hunterdon,17,3
Hunterdon,18,3
Hunterdon,19,2
Mercer,1,0
Mercer,2,0
Mercer,3,0
Mercer,4,0
Mercer,5,0
Mercer,6,0
Mercer,7,0
Mercer,8,0
Mercer,9,0
Mercer,10,1
Mercer,11,0
Mercer,12,0
Mercer,13,5
Mercer,14,3
Mercer,15,6
Mercer,16,5
Mercer,17,2
Mercer,18,8
Mercer,19,10
Middlesex,1,0
Middlesex,2,0
Middlesex,3,0
Middlesex,4,0
Middlesex,5,0
Middlesex,6,0
Middlesex,7,0
Middlesex,8,2
Middlesex,9,0
Middlesex,10,1
Middlesex,11,7
Middlesex,12,1
Middlesex,13,6
Middlesex,14,5
Middlesex,15,18
Middlesex,16,24
Middlesex,17,12
Middlesex,18,40
Middlesex,19,31
Monmouth,1,0
Monmouth,2,0
Monmouth,3,0
Monmouth,4,0
Monmouth,5,0
Monmouth,6,2
Monmouth,7,0
Monmouth,8,2
Monmouth,9,1
Monmouth,10,2
Monmouth,11,1
Monmouth,12,4
Monmouth,13,2
Monmouth,14,8
Monmouth,15,10
Monmouth,16,11
Monmouth,17,10
Monmouth,18,39
Monmouth,19,66
Morris,1,0
Morris,2,0
Morris,3,0
Morris,4,0
Morris,5,0
Morris,6,0
Morris,7,0
Morris,8,0
Morris,9,1
Morris,10,2
Morris,11,0
Morris,12,1
Morris,13,2
Morris,14,0
Morris,15,13
Morris,16,7
Morris,17,9
Morris,18,29
Morris,19,55
Ocean,1,0
Ocean,2,0
Ocean,3,0
Ocean,4,0
Ocean,5,0
Ocean,6,0
Ocean,7,0
Ocean,8,0
Ocean,9,0
Ocean,10,1
Ocean,11,0
Ocean,12,1
Ocean,13,1
Ocean,14,1
Ocean,15,4
Ocean,16,25
Ocean,17,16
Ocean,18,13
Ocean,19,40
Passaic,1,0
Passaic,2,0
Passaic,3,0
Passaic,4,0
Passaic,5,0
Passaic,6,1
Passaic,7,0
Passaic,8,0
Passaic,9,0
Passaic,10,1
Passaic,11,0
Passaic,12,3
Passaic,13,3
Passaic,14,2
Passaic,15,8
Passaic,16,20
Passaic,17,11
Passaic,18,18
Passaic,19,28
Salem,1,0
Salem,2,0
Salem,3,0
Salem,4,0
Salem,5,0
Salem,6,0
Salem,7,0
Salem,8,0
Salem,9,0
Salem,10,0
Salem,11,0
Salem,12,0
Salem,13,0
Salem,14,0
Salem,15,0
Salem,16,0
Salem,17,0
Salem,18,0
Salem,19,1
Somerset,1,0
Somerset,2,0
Somerset,3,0
Somerset,4,0
Somerset,5,0
Somerset,6,0
Somerset,7,0
Somerset,8,0
Somerset,9,1
Somerset,10,0
Somerset,11,0
Somerset,12,0
Somerset,13,4
Somerset,14,2
Somerset,15,9
Somerset,16,5
Somerset,17,7
Somerset,18,6
Somerset,19,17
Sussex,1,0
Sussex,2,0
Sussex,3,0
Sussex,4,0
Sussex,5,0
Sussex,6,0
Sussex,7,0
Sussex,8,0
Sussex,9,0
Sussex,10,0
Sussex,11,0
Sussex,12,0
Sussex,13,0
Sussex,14,0
Sussex,15,0
Sussex,16,2
Sussex,17,1
Sussex,18,3
Sussex,19,6
Union,1,0
Union,2,0
Union,3,0
Union,4,0
Union,5,0
Union,6,1
Union,7,0
Union,8,0
Union,9,0
Union,10,0
Union,11,0
Union,12,3
Union,13,4
Union,14,7
Union,15,11
Union,16,3
Union,17,14
Union,18,38
Union,19,43
Warren,1,0
Warren,2,0
Warren,3,0
Warren,4,0
Warren,5,0
Warren,6,0
Warren,7,0
Warren,8,0
Warren,9,0
Warren,10,0
Warren,11,0
Warren,12,0
Warren,13,0
Warren,14,0
Warren,15,0
Warren,16,3
Warren,17,0
Warren,18,2
Warren,19,4
